name,top_keywords,x,y,discipline_en,discipline_sp
"Provensal, Cecilia","rodent, inactive, borders, pygmy, genetic, population, rodents",5.3716564,2.7989538,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Provensal, María Cecilia","longicaudatus, musculinus, hantavirus, rodent, junin, virus, calomys",4.060974,-0.6810211,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Provenzano, Lucas","bnct, neutron, osteosarcoma, isoeffective, clinical, neck, photon",-2.4535253,-2.7718935,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Provvidente, Sebastian","на, council, фалькенберга, 1414, 1418, falkenberg, констанцском",-1.0781593,9.104767,Social Sciences & Humanities,Ciencias sociales y humanidades
"Prozzillo, Paola Alejandra","mpfi, espiritual, transcendência, gerotrascendencia, gerotranscendence, gerotranscendência, religiosity",-1.9470556,5.3462405,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Prucca, Cesar German","fos, lipin, evs, breast, cancer, tumor, cells",-0.8664316,-1.3481712,Cell Biology & Oncology,Biología celular
"Prudkin Silva, Cecilia Raquel","chitosan, insulina, algae, biosensor, insulin, quitosano, scientists",-3.2454042,-0.19989474,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Prueger, Jonathan Enrique","jung, simondon, junguiana, poder, inconsciente, analítica, psíquico",-1.0501318,8.400934,Social Sciences & Humanities,Ciencias sociales y humanidades
"Prunello, Marcos Miguel","nirl, parathyroid, methylmix, hypocalcemia, dissection, methylation, wl",-2.8665876,-0.5548986,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Pruzzo, Cesar Ivan","abz, hepatica, clor, eht, fasciola, albendazole, efficacy",2.6529574,-0.93831444,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Pryluka, Pablo Federico","vivir, desarrollo, debates, consumo, buen, coyuntura, resonancias",0.39064944,6.886446,Social Sciences & Humanities,Ciencias sociales y humanidades
"Prymaczok, Natalia Cecilia","chh, crayfish, quadricarinatus, hemolymphatic, salinity, cherax, salinities",3.3443394,3.4973855,Ecology & Earth Sciences,Ecología y ciencias de la tierra
